domain,subcategory,tag,is_new
Medical Devices & Procedural Products,Orthopedic,Joint reconstruction,false
Medical Devices & Procedural Products,Orthopedic,Spine,false
Medical Devices & Procedural Products,Orthopedic,Trauma,false
Medical Devices & Procedural Products,Orthopedic,Sports medicine,false
Medical Devices & Procedural Products,Orthopedic,Extremities,false
Medical Devices & Procedural Products,Orthopedic,Biologics,false
Medical Devices & Procedural Products,Orthopedic,Power tools,false
Medical Devices & Procedural Products,Orthopedic,Navigation,false
Medical Devices & Procedural Products,Orthopedic,Hip replacement systems,true
Medical Devices & Procedural Products,Orthopedic,Knee replacement systems,true
Medical Devices & Procedural Products,Orthopedic,Bone cement,true
Medical Devices & Procedural Products,Orthopedic,Spinal fusion devices,true
Medical Devices & Procedural Products,Orthopedic,Bone graft substitutes,true
Medical Devices & Procedural Products,Orthopedic,Orthopedic robotics,true
Medical Devices & Procedural Products,Orthopedic,3D-printed implants,true
Medical Devices & Procedural Products,Orthopedic,Cartilage repair,true
Medical Devices & Procedural Products,Orthopedic,External fixation,true
Medical Devices & Procedural Products,Cardiovascular,Interventional cardiology,false
Medical Devices & Procedural Products,Cardiovascular,Structural heart,false
Medical Devices & Procedural Products,Cardiovascular,Electrophysiology,false
Medical Devices & Procedural Products,Cardiovascular,Cardiac rhythm management,false
Medical Devices & Procedural Products,Cardiovascular,Vascular,false
Medical Devices & Procedural Products,Cardiovascular,Peripheral vascular,false
Medical Devices & Procedural Products,Cardiovascular,Heart failure,false
Medical Devices & Procedural Products,Cardiovascular,Drug-eluting stents,true
Medical Devices & Procedural Products,Cardiovascular,TAVR systems,true
Medical Devices & Procedural Products,Cardiovascular,Left atrial appendage closure,true
Medical Devices & Procedural Products,Cardiovascular,Ablation catheters,true
Medical Devices & Procedural Products,Cardiovascular,Implantable defibrillators,true
Medical Devices & Procedural Products,Cardiovascular,Pacemakers,true
Medical Devices & Procedural Products,Cardiovascular,Cardiac mapping systems,true
Medical Devices & Procedural Products,Cardiovascular,LVAD / mechanical support,true
Medical Devices & Procedural Products,Cardiovascular,Atherectomy devices,true
Medical Devices & Procedural Products,Surgical,General surgery,false
Medical Devices & Procedural Products,Surgical,Minimally invasive surgery,false
Medical Devices & Procedural Products,Surgical,Surgical robotics,false
Medical Devices & Procedural Products,Surgical,Stapling / closure,false
Medical Devices & Procedural Products,Surgical,Energy devices,false
Medical Devices & Procedural Products,Surgical,Sutures,false
Medical Devices & Procedural Products,Surgical,Surgical visualization,false
Medical Devices & Procedural Products,Surgical,Hernia,false
Medical Devices & Procedural Products,Surgical,Trocars / access devices,true
Medical Devices & Procedural Products,Surgical,Surgical smoke evacuation,true
Medical Devices & Procedural Products,Surgical,Vessel sealing,true
Medical Devices & Procedural Products,Surgical,Bariatric surgery devices,true
Medical Devices & Procedural Products,Surgical,Surgical mesh,true
Medical Devices & Procedural Products,Surgical,Hemostatic agents,true
Medical Devices & Procedural Products,General Med-Surg,Beds / stretchers,false
Medical Devices & Procedural Products,General Med-Surg,IV products,false
Medical Devices & Procedural Products,General Med-Surg,Pumps,false
Medical Devices & Procedural Products,General Med-Surg,Compression therapy,false
Medical Devices & Procedural Products,General Med-Surg,Patient warming,false
Medical Devices & Procedural Products,General Med-Surg,Sharps,false
Medical Devices & Procedural Products,General Med-Surg,Exam gloves,false
Medical Devices & Procedural Products,General Med-Surg,Syringes,false
Medical Devices & Procedural Products,General Med-Surg,Needleless connectors,true
Medical Devices & Procedural Products,General Med-Surg,Catheters,true
Medical Devices & Procedural Products,General Med-Surg,Drainage systems,true
Medical Devices & Procedural Products,General Med-Surg,Patient positioning,true
Medical Devices & Procedural Products,General Med-Surg,Pulse oximetry,true
Medical Devices & Procedural Products,General Med-Surg,Sequential compression devices,true
Medical Devices & Procedural Products,Anesthesia / Respiratory,Anesthesia machines,false
Medical Devices & Procedural Products,Anesthesia / Respiratory,Airway products,false
Medical Devices & Procedural Products,Anesthesia / Respiratory,Ventilators,false
Medical Devices & Procedural Products,Anesthesia / Respiratory,Oxygen therapy,false
Medical Devices & Procedural Products,Anesthesia / Respiratory,Respiratory therapy devices,false
Medical Devices & Procedural Products,Anesthesia / Respiratory,Monitoring,false
Medical Devices & Procedural Products,Anesthesia / Respiratory,Endotracheal tubes,true
Medical Devices & Procedural Products,Anesthesia / Respiratory,Laryngoscopes,true
Medical Devices & Procedural Products,Anesthesia / Respiratory,Capnography,true
Medical Devices & Procedural Products,Anesthesia / Respiratory,Nebulizers,true
Medical Devices & Procedural Products,Anesthesia / Respiratory,High-flow nasal cannula,true
Medical Devices & Procedural Products,Anesthesia / Respiratory,Bronchoscopy devices,true
Medical Devices & Procedural Products,Neurology / Neurosurgery,Neurovascular,false
Medical Devices & Procedural Products,Neurology / Neurosurgery,Stroke devices,false
Medical Devices & Procedural Products,Neurology / Neurosurgery,Spine neuro,false
Medical Devices & Procedural Products,Neurology / Neurosurgery,Brain monitoring,false
Medical Devices & Procedural Products,Neurology / Neurosurgery,Neuromodulation,false
Medical Devices & Procedural Products,Neurology / Neurosurgery,Deep brain stimulation,true
Medical Devices & Procedural Products,Neurology / Neurosurgery,Spinal cord stimulation,true
Medical Devices & Procedural Products,Neurology / Neurosurgery,Flow diverters,true
Medical Devices & Procedural Products,Neurology / Neurosurgery,EEG systems,true
Medical Devices & Procedural Products,Neurology / Neurosurgery,Stereotactic navigation,true
Medical Devices & Procedural Products,Neurology / Neurosurgery,Thrombectomy devices,true
Medical Devices & Procedural Products,Ophthalmology,Surgical ophthalmology,false
Medical Devices & Procedural Products,Ophthalmology,Vision diagnostics,false
Medical Devices & Procedural Products,Ophthalmology,Laser / retina,false
Medical Devices & Procedural Products,Ophthalmology,Cataract products,false
Medical Devices & Procedural Products,Ophthalmology,IOL systems,true
Medical Devices & Procedural Products,Ophthalmology,OCT imaging,true
Medical Devices & Procedural Products,Ophthalmology,Glaucoma devices,true
Medical Devices & Procedural Products,Ophthalmology,Vitreoretinal instruments,true
Medical Devices & Procedural Products,ENT,ENT surgical devices,false
Medical Devices & Procedural Products,ENT,Hearing-related devices,false
Medical Devices & Procedural Products,ENT,Airway / sinus products,false
Medical Devices & Procedural Products,ENT,Cochlear implants,true
Medical Devices & Procedural Products,ENT,Sinus balloon dilation,true
Medical Devices & Procedural Products,ENT,ENT navigation systems,true
Medical Devices & Procedural Products,ENT,Hearing aids,true
Medical Devices & Procedural Products,GI / Urology,Endoscopy,false
Medical Devices & Procedural Products,GI / Urology,GI procedural devices,false
Medical Devices & Procedural Products,GI / Urology,Urology devices,false
Medical Devices & Procedural Products,GI / Urology,Stone management,false
Medical Devices & Procedural Products,GI / Urology,Continence / pelvic health,false
Medical Devices & Procedural Products,GI / Urology,Capsule endoscopy,true
Medical Devices & Procedural Products,GI / Urology,Biliary stents,true
Medical Devices & Procedural Products,GI / Urology,Lithotripsy,true
Medical Devices & Procedural Products,GI / Urology,Ureteroscopes,true
Medical Devices & Procedural Products,GI / Urology,Prostate therapy devices,true
Medical Devices & Procedural Products,OB/GYN / Women's Health,Labor & delivery,false
Medical Devices & Procedural Products,OB/GYN / Women's Health,Fertility,false
Medical Devices & Procedural Products,OB/GYN / Women's Health,Gynecologic surgery,false
Medical Devices & Procedural Products,OB/GYN / Women's Health,Maternal monitoring,false
Medical Devices & Procedural Products,OB/GYN / Women's Health,Women's diagnostics,false
Medical Devices & Procedural Products,OB/GYN / Women's Health,Fetal monitoring systems,true
Medical Devices & Procedural Products,OB/GYN / Women's Health,IVF equipment,true
Medical Devices & Procedural Products,OB/GYN / Women's Health,Uterine ablation,true
Medical Devices & Procedural Products,OB/GYN / Women's Health,Breast biopsy systems,true
Medical Devices & Procedural Products,OB/GYN / Women's Health,Neonatal care devices,true
Medical Devices & Procedural Products,Dental / Oral Surgery,Dental devices,false
Medical Devices & Procedural Products,Dental / Oral Surgery,Oral surgery,false
Medical Devices & Procedural Products,Dental / Oral Surgery,Imaging,false
Medical Devices & Procedural Products,Dental / Oral Surgery,Restorative / orthodontic,false
Medical Devices & Procedural Products,Dental / Oral Surgery,Dental implants,true
Medical Devices & Procedural Products,Dental / Oral Surgery,CAD/CAM dental systems,true
Medical Devices & Procedural Products,Dental / Oral Surgery,Intraoral scanners,true
Medical Devices & Procedural Products,Dental / Oral Surgery,Dental lasers,true
Medical Devices & Procedural Products,Dental / Oral Surgery,Clear aligners,true
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Advanced wound care,false
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Dressings,false
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Negative pressure wound therapy,false
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Skin integrity,false
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Sterilization,false
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Infection prevention,false
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Disinfection,false
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,UV disinfection systems,true
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Antimicrobial dressings,true
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Skin prep / antiseptics,true
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Biological skin substitutes,true
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Surgical drapes / gowns,true
Medical Devices & Procedural Products,Wound Care / Skin / Infection Prevention,Hand hygiene systems,true
Medical Devices & Procedural Products,Rehab / Physical Medicine,Rehabilitation devices,false
Medical Devices & Procedural Products,Rehab / Physical Medicine,Mobility,false
Medical Devices & Procedural Products,Rehab / Physical Medicine,Therapy equipment,false
Medical Devices & Procedural Products,Rehab / Physical Medicine,Pain management,false
Medical Devices & Procedural Products,Rehab / Physical Medicine,Electrotherapy devices,true
Medical Devices & Procedural Products,Rehab / Physical Medicine,Ultrasound therapy,true
Medical Devices & Procedural Products,Rehab / Physical Medicine,Gait analysis systems,true
Medical Devices & Procedural Products,Rehab / Physical Medicine,Functional electrical stimulation,true
Medical Devices & Procedural Products,DME / Prosthetics / Orthotics / Home Medical Equipment,Mobility equipment,false
Medical Devices & Procedural Products,DME / Prosthetics / Orthotics / Home Medical Equipment,Prosthetics,false
Medical Devices & Procedural Products,DME / Prosthetics / Orthotics / Home Medical Equipment,Orthotics,false
Medical Devices & Procedural Products,DME / Prosthetics / Orthotics / Home Medical Equipment,CPAP / home respiratory,false
Medical Devices & Procedural Products,DME / Prosthetics / Orthotics / Home Medical Equipment,Home safety equipment,false
Medical Devices & Procedural Products,DME / Prosthetics / Orthotics / Home Medical Equipment,Hospital beds (home),false
Medical Devices & Procedural Products,DME / Prosthetics / Orthotics / Home Medical Equipment,Power wheelchairs,true
Medical Devices & Procedural Products,DME / Prosthetics / Orthotics / Home Medical Equipment,BiPAP devices,true
Medical Devices & Procedural Products,DME / Prosthetics / Orthotics / Home Medical Equipment,Home oxygen concentrators,true
Medical Devices & Procedural Products,DME / Prosthetics / Orthotics / Home Medical Equipment,Patient lifts (home),true
Medical Devices & Procedural Products,DME / Prosthetics / Orthotics / Home Medical Equipment,Diabetic footwear,true
Capital Equipment & Imaging,Diagnostic Imaging,CT,false
Capital Equipment & Imaging,Diagnostic Imaging,MRI,false
Capital Equipment & Imaging,Diagnostic Imaging,X-ray,false
Capital Equipment & Imaging,Diagnostic Imaging,Ultrasound,false
Capital Equipment & Imaging,Diagnostic Imaging,Mammography,false
Capital Equipment & Imaging,Diagnostic Imaging,Nuclear medicine,false
Capital Equipment & Imaging,Diagnostic Imaging,PET,false
Capital Equipment & Imaging,Diagnostic Imaging,Fluoroscopy,true
Capital Equipment & Imaging,Diagnostic Imaging,Contrast injectors,true
Capital Equipment & Imaging,Diagnostic Imaging,Portable X-ray,true
Capital Equipment & Imaging,Diagnostic Imaging,3D tomosynthesis,true
Capital Equipment & Imaging,Diagnostic Imaging,Bone densitometry,true
Capital Equipment & Imaging,Diagnostic Imaging,Point-of-care ultrasound,true
Capital Equipment & Imaging,Imaging IT,PACS,false
Capital Equipment & Imaging,Imaging IT,VNA,false
Capital Equipment & Imaging,Imaging IT,Radiology viewers,false
Capital Equipment & Imaging,Imaging IT,Workflow,false
Capital Equipment & Imaging,Imaging IT,AI imaging analytics,false
Capital Equipment & Imaging,Imaging IT,Dose management software,true
Capital Equipment & Imaging,Imaging IT,Radiology reporting / dictation,true
Capital Equipment & Imaging,Imaging IT,3D rendering / post-processing,true
Capital Equipment & Imaging,Imaging IT,Enterprise imaging platform,true
Capital Equipment & Imaging,Surgical / Procedural Capital,OR towers,false
Capital Equipment & Imaging,Surgical / Procedural Capital,Surgical tables,false
Capital Equipment & Imaging,Surgical / Procedural Capital,Lights,false
Capital Equipment & Imaging,Surgical / Procedural Capital,Booms,false
Capital Equipment & Imaging,Surgical / Procedural Capital,Sterile processing equipment,false
Capital Equipment & Imaging,Surgical / Procedural Capital,Endoscope reprocessing,false
Capital Equipment & Imaging,Surgical / Procedural Capital,OR integration systems,true
Capital Equipment & Imaging,Surgical / Procedural Capital,C-arm / mobile fluoroscopy,true
Capital Equipment & Imaging,Surgical / Procedural Capital,Surgical navigation capital,true
Capital Equipment & Imaging,Surgical / Procedural Capital,Electrosurgical generators,true
Capital Equipment & Imaging,Surgical / Procedural Capital,Autoclaves / steam sterilizers,true
Capital Equipment & Imaging,Patient Care Capital,Beds,false
Capital Equipment & Imaging,Patient Care Capital,Monitoring systems,false
Capital Equipment & Imaging,Patient Care Capital,Ventilators,false
Capital Equipment & Imaging,Patient Care Capital,Infusion systems,false
Capital Equipment & Imaging,Patient Care Capital,Patient lifts,false
Capital Equipment & Imaging,Patient Care Capital,Nurse call systems,true
Capital Equipment & Imaging,Patient Care Capital,Telemetry systems,true
Capital Equipment & Imaging,Patient Care Capital,Smart bed platforms,true
Capital Equipment & Imaging,Patient Care Capital,Clinical alarm management,true
Capital Equipment & Imaging,Patient Care Capital,Central monitoring stations,true
Capital Equipment & Imaging,Radiation / Oncology Capital,Radiation therapy systems,false
Capital Equipment & Imaging,Radiation / Oncology Capital,Planning systems,false
Capital Equipment & Imaging,Radiation / Oncology Capital,Oncology workflow tech,false
Capital Equipment & Imaging,Radiation / Oncology Capital,Linear accelerators,true
Capital Equipment & Imaging,Radiation / Oncology Capital,Proton therapy systems,true
